Time,"ora$Che ore sono?$A che ora parti per andare al lavoro la mattina?$tempo$Vuole più con la famiglia.$",0
Be,"essere$Sono Maria.$Ho 16 anni.$È tedesco.$Erano malati.$",0
Good,"buono, bello$un bel libro$Ti sei divertito alla festa?$buono$Si mangia molto bene a quel ristorante.$",0
Year,"anno$È stato assunto dall’azienda un anno fa.$avere… anni (di età)$Suo figlio ha sei anni.$anno$",0
Have,"usato con il participio passato di un altro verbo per formare il presente perfetto e il passato perfetto$Hai visto Anna?$Mi sono dimenticato il suo nome.$Non è mai stato a Londra prima d’ora.$Non aveva pensato a che cosa potesse succedere.$",0
New,"nuovo$Ho bisogno di scarpe nuove.$Inizia il suo nuovo lavoro lunedì.$nuovo$La loro casa è sempre quasi nuova.$",0
People,"persone, gente$La nostra ditta impiega oltre 400 persone.$La gente è scontenta della situazione.$popolo$I francesi hanno la fama di buongustai.$",0
Do,"usato con un altro verbo per formare frasi negative e interrogative$Hai bisogno di aiuto?$Non lo so.$usato alla fine di una frase per renderla interrogativa$Sarah abita qui vicino, no?$",0
Old,"vecchio, antico$un uomo anziano$una casa vecchia$Stiamo tutti .$vecchio$",0
Way,"modo, maniera$Devo per aiutarlo.$Abbiamo esaminato modi diversi per risolvere il problema.$strada, cammino, via$Devo comprare un giornale sulla via del ritorno a casa.$",0
Say,"dire$Vorrei andare a casa, ha detto.$Come si dice questa parola?$dire$Ha partiva.$",0
Great,"fantastico, ottimo$Siamo stati molto bene.$grande$una gran folla di gente$Nell’alluvione sono stati danneggiati un gran numero di edifici.$",0
Man,"uomo$un giovane uomo$uomini e donne$uomo$L’uomo è tuttora più intelligente del robot più capace.$",0
Get,"ottenere, ricevere$Che cosa hai ricevuto di bello per il tuo compleanno?$Ben ancora non ha ricevuto la mia mail.$ottenere, comprare$Dove hai comprato le tue scarpe?$",0
High,"alto$un edificio alto/una montagna alta$alto$Il paese era sui monti.$alto$",0
Day,"giorno$i giorni della settimana$L’ho vista .$giorno$una bella giornata di sole$",0
Make,"fare$Preparo un caffè?$Hanno fatto un film sulla sua vita.$Il burro il latte.$essere fatto di qualcosa$",0
Small,"piccolo$Insegniamo ai bambini in gruppi piccoli.$piccolo$una donna con tre bambini piccoli$insignificante$",0
Thing,"cosa$Devo prendere alcune cose in città.$cose$Prendo subito le mie cose e poi sono pronta.$cosa, aspetto$",0
Go,"andare, andarsene$Mi piacerebbe molto andare in Florida.$Siamo entrati in casa.$treno?$andare$",0
Large,"grande$un gran numero di persone$Ha vinto una grande quantità di soldi.$Viene da una famiglia assai grande.$",0
Child,"bambino, -a, ragazzo, -a$Quando ero bambino avevo i capelli biondi.$figlio, -a$I suoi figli sono tutti cresciuti ora.$essere un gioco da ragazzi$",0
See,"vedere$Hai visto Molly?$Accendi la luce così ci vedo.$vedere$Vedo Peter stasera.$",0
Long,"lungo$capelli lunghi$gambe lunghe$un abito lungo$lungo$",0
Know,"sapere$“Quanti anni ha?” “Non lo so.”$stava mentendo.$sapere$Sai dirmi dov’è l’ufficio postale?$",0
Young,"giovane$i giovani$i giovani$È il tipo di musica che piace soprattutto ai giovani.$la prole di qualcosa$",0
Government,"governo$Il governo ha tagliato le tasse.$governo$Il paese è tornato al governo democratico.$",0
Take,"portare$sempre me l’ombrello.$portare$Sabato i ragazzi circo.$mia moglie Firenze per il fine settimana.$",0
Right,"corretto, esatto$Ha risposto correttamente soltanto a metà delle domande.$“Sei venuta qua nel 2009, vero?” “ .”$aver ragione$Hai Alison – è incredibile!$",0
Work,"lavorare$Helen un’azienda informatica.$il cameriere in un ristorante italiano.$funzionare$Il frigorifero non funziona.$",0
Think,"credere, pensare$Credo che ci siamo già incontrati.$Credi che pioverà?$credere, pensare$Che cosa spettacolo?$",0
Early,"presto$Mi sono alzato presto stamani.$in anticipo$L’aereo è arrivato con dieci minuti di anticipo.$all’inizio$",0
Life,"vita$Ha una felice.$Vuoi il resto della con lui?$vita$la vita umana$",0
Come,"venire$Vieni qui.$Puoi mia festa?$Adam.$arrivare, venire$",0
Big,"grande, grosso$Vengo da una famiglia numerosa.$Stiamo cercando una casa più grande.$importante, serio$Comprare quella macchina è stato un grande errore.$",0
Woman,"donna$una donna trentenne$",0
Give,"dare$Le ho regalato una bicicletta per il suo compleanno.$denaro in beneficenza?$dare$Mi puoi dare quella penna?$",0
Late,"essere in ritardo (per qualcosa)$Il mio volo ha ritardato.$Ho fatto tardi al lavoro stamani.$tardi, in ritardo$Siamo arrivati là troppo tardi e non c’era rimasto niente da mangiare.$",0
System,"sistema$A casa abbiamo un sistema d’allarme.$sistema$il sistema giuridico statunitense$il sistema dei trasporti pubblici$",0
Look,"guardare$la figura a pagina due.$Guardava fuori della finestra.$cercare$Sto le chiavi.$",0
Full,"pieno$una bottiglia d’acqua piena$pieno$La stanza era gente.$intero, tutto$",0
Case,"valigia$astuccio, cofanetto$un astuccio$caso$Normalmente richiediamo delle referenze ma in questo caso non sarà necessario.$",0
Use,"usare, utilizzare$Posso prendere la tua penna?$Usa la macchina per lavoro.$consumare$Queste lampadine consumano meno elettricità.$",0
